date,black jeans,blue jeans,grey jeans,isPartial
2018-09-30,36,29,5,False
2018-10-07,43,30,5,False
2018-10-14,44,30,6,False
2018-10-21,43,29,6,False
2018-10-28,42,28,5,False
2018-11-04,42,28,5,False
2018-11-11,46,28,5,False
2018-11-18,83,29,5,False
2018-11-25,46,30,5,False
2018-12-02,44,28,6,False
2018-12-09,44,28,6,False
2018-12-16,43,27,5,False
2018-12-23,46,27,5,False
2018-12-30,43,28,5,False
2019-01-06,40,26,5,False
2019-01-13,40,27,5,False
2019-01-20,39,25,5,False
2019-01-27,39,27,5,False
2019-02-03,37,29,5,False
2019-02-10,38,28,5,False
2019-02-17,39,28,4,False
2019-02-24,39,28,5,False
2019-03-03,41,29,4,False
2019-03-10,38,28,4,False
2019-03-17,38,30,5,False
2019-03-24,36,29,4,False
2019-03-31,37,31,4,False
2019-04-07,35,28,5,False
2019-04-14,35,28,5,False
2019-04-21,34,26,3,False
2019-04-28,36,28,4,False
2019-05-05,32,26,4,False
2019-05-12,32,24,3,False
2019-05-19,30,25,3,False
2019-05-26,30,25,4,False
2019-06-02,27,24,3,False
2019-06-09,29,25,3,False
2019-06-16,31,24,5,False
2019-06-23,29,23,3,False
2019-06-30,28,22,3,False
2019-07-07,29,23,4,False
2019-07-14,31,24,4,False
2019-07-21,33,24,4,False
2019-07-28,35,24,4,False
2019-08-04,37,26,4,False
2019-08-11,37,27,5,False
2019-08-18,36,26,4,False
2019-08-25,35,26,5,False
2019-09-01,40,26,4,False
2019-09-08,38,24,4,False
2019-09-15,41,28,6,False
2019-09-22,37,28,5,False
2019-09-29,44,27,5,False
2019-10-06,44,29,5,False
2019-10-13,45,29,6,False
2019-10-20,45,29,5,False
2019-10-27,39,25,5,False
2019-11-03,44,27,5,False
2019-11-10,43,26,5,False
2019-11-17,51,29,6,False
2019-11-24,89,29,7,False
2019-12-01,51,29,6,False
2019-12-08,45,26,5,False
2019-12-15,48,28,7,False
2019-12-22,49,30,6,False
2019-12-29,45,27,6,False
2020-01-05,38,28,5,False
2020-01-12,41,28,5,False
2020-01-19,40,28,5,False
2020-01-26,40,28,5,False
2020-02-02,40,27,5,False
2020-02-09,42,29,5,False
2020-02-16,42,30,6,False
2020-02-23,42,30,6,False
2020-03-01,40,29,5,False
2020-03-08,33,27,4,False
2020-03-15,24,26,3,False
2020-03-22,23,27,3,False
2020-03-29,23,25,2,False
2020-04-05,25,26,3,False
2020-04-12,28,30,3,False
2020-04-19,28,28,3,False
2020-04-26,28,27,3,False
2020-05-03,28,26,3,False
2020-05-10,30,28,4,False
2020-05-17,31,26,4,False
2020-05-24,30,27,3,False
2020-05-31,28,25,3,False
2020-06-07,30,26,4,False
2020-06-14,31,27,4,False
2020-06-21,27,23,3,False
2020-06-28,32,25,4,False
2020-07-05,31,26,4,False
2020-07-12,33,25,4,False
2020-07-19,35,26,5,False
2020-07-26,33,26,4,False
2020-08-02,36,28,5,False
2020-08-09,36,29,4,False
2020-08-16,32,26,5,False
2020-08-23,33,24,4,False
2020-08-30,34,28,5,False
2020-09-06,35,27,5,False
2020-09-13,40,30,5,False
2020-09-20,38,28,5,False
2020-09-27,43,30,5,False
2020-10-04,47,33,5,False
2020-10-11,46,33,6,False
2020-10-18,48,31,5,False
2020-10-25,44,31,5,False
2020-11-01,36,24,5,False
2020-11-08,45,30,5,False
2020-11-15,45,27,5,False
2020-11-22,72,34,6,False
2020-11-29,50,32,6,False
2020-12-06,45,28,7,False
2020-12-13,43,30,5,False
2020-12-20,42,27,6,False
2020-12-27,47,29,6,False
2021-01-03,39,29,5,False
2021-01-10,41,28,6,False
2021-01-17,39,27,6,False
2021-01-24,41,29,5,False
2021-01-31,42,30,5,False
2021-02-07,38,28,4,False
2021-02-14,36,29,4,False
2021-02-21,38,28,5,False
2021-02-28,40,30,4,False
2021-03-07,38,30,5,False
2021-03-14,41,31,5,False
2021-03-21,39,33,5,False
2021-03-28,39,29,4,False
2021-04-04,38,31,5,False
2021-04-11,37,30,4,False
2021-04-18,38,29,5,False
2021-04-25,38,30,6,False
2021-05-02,38,29,4,False
2021-05-09,37,30,5,False
2021-05-16,36,30,5,False
2021-05-23,35,26,4,False
2021-05-30,32,26,4,False
2021-06-06,32,27,4,False
2021-06-13,32,26,3,False
2021-06-20,33,26,3,False
2021-06-27,33,27,4,False
2021-07-04,35,28,4,False
2021-07-11,35,26,4,False
2021-07-18,40,29,5,False
2021-07-25,40,28,5,False
2021-08-01,42,28,6,False
2021-08-08,42,31,6,False
2021-08-15,43,32,6,False
2021-08-22,42,33,6,False
2021-08-29,40,31,5,False
2021-09-05,44,32,6,False
2021-09-12,45,32,6,False
2021-09-19,49,35,6,False
2021-09-26,47,33,5,False
2021-10-03,51,31,6,False
2021-10-10,51,33,6,False
2021-10-17,55,37,7,False
2021-10-24,53,33,7,False
2021-10-31,51,33,7,False
2021-11-07,57,34,7,False
2021-11-14,65,37,8,False
2021-11-21,100,38,10,False
2021-11-28,62,34,9,False
2021-12-05,58,34,9,False
2021-12-12,54,32,9,False
2021-12-19,48,31,8,False
2021-12-26,48,31,8,False
2022-01-02,50,34,9,False
2022-01-09,47,31,7,False
2022-01-16,47,32,7,False
2022-01-23,49,35,7,False
2022-01-30,47,35,6,False
2022-02-06,49,35,7,False
2022-02-13,46,32,6,False
2022-02-20,47,32,6,False
2022-02-27,46,34,7,False
2022-03-06,45,33,7,False
2022-03-13,44,33,7,False
2022-03-20,44,34,7,False
2022-03-27,43,31,6,False
2022-04-03,40,32,6,False
2022-04-10,38,32,6,False
2022-04-17,39,31,6,False
2022-04-24,39,32,6,False
2022-05-01,39,30,6,False
2022-05-08,34,29,4,False
2022-05-15,36,30,5,False
2022-05-22,36,29,5,False
2022-05-29,34,29,5,False
2022-06-05,34,27,4,False
2022-06-12,32,27,4,False
2022-06-19,33,26,5,False
2022-06-26,32,26,5,False
2022-07-03,34,29,5,False
2022-07-10,35,29,5,False
2022-07-17,42,35,7,False
2022-07-24,39,31,7,False
2022-07-31,40,33,7,False
2022-08-07,43,36,8,False
2022-08-14,45,35,7,False
2022-08-21,46,36,7,False
2022-08-28,50,37,7,False
2022-09-04,49,36,7,False
2022-09-11,43,35,7,False
2022-09-18,47,40,7,False
2022-09-25,50,39,8,False
2022-10-02,51,36,7,False
2022-10-09,55,39,9,False
2022-10-16,51,37,7,False
2022-10-23,53,37,8,False
2022-10-30,49,35,8,False
2022-11-06,54,35,9,False
2022-11-13,59,37,8,False
2022-11-20,98,41,10,False
2022-11-27,64,36,8,False
2022-12-04,59,35,9,False
2022-12-11,56,36,10,False
2022-12-18,51,35,9,False
2022-12-25,58,40,10,False
2023-01-01,48,33,7,False
2023-01-08,46,35,8,False
2023-01-15,45,35,8,False
2023-01-22,50,36,8,False
2023-01-29,45,34,9,False
2023-02-05,49,39,7,False
2023-02-12,44,38,7,False
2023-02-19,46,37,7,False
2023-02-26,44,37,8,False
2023-03-05,45,38,8,False
2023-03-12,45,36,8,False
2023-03-19,44,37,8,False
2023-03-26,42,36,7,False
2023-04-02,40,36,7,False
2023-04-09,38,37,7,False
2023-04-16,38,36,6,False
2023-04-23,40,39,7,False
2023-04-30,38,35,6,False
2023-05-07,37,37,6,False
2023-05-14,38,37,7,False
2023-05-21,40,39,7,False
2023-05-28,37,39,5,False
2023-06-04,36,35,6,False
2023-06-11,37,37,6,False
2023-06-18,35,33,6,False
2023-06-25,36,42,6,False
2023-07-02,36,45,7,False
2023-07-09,39,42,8,False
2023-07-16,39,46,7,False
2023-07-23,43,46,8,False
2023-07-30,46,49,10,False
2023-08-06,49,50,10,False
2023-08-13,45,52,9,False
2023-08-20,40,48,8,False
2023-08-27,41,45,7,False
2023-09-03,43,46,8,False
2023-09-10,48,48,7,False
2023-09-17,50,50,9,False
2023-09-24,57,52,9,True
